Eastbound 	Westbound 	Northbound 	Southbound
L 	T 	TR 	Total 	L 	T 	TR 	Total 	L 	T 	R 	Total 	L 	T 	R 	Total 	Vehicle Total
7:00 AM 	15 	46 	19 	80 	14 	34 	12 	60 	7 	29 	14 	50 	3 	18 	7 	28 	218
7:05 AM 	8 	55 	22 	85 	18 	46 	23 	87 	15 	60 	14 	89 	4 	25 	14 	43 	304
7:10 AM 	12 	42 	15 	69 	18 	41 	17 	76 	4 	30 	8 	42 	10 	20 	12 	42 	229
7:15 AM 	10 	39 	9 	58 	6 	37 	20 	63 	15 	79 	8 	102 	3 	26 	12 	41 	264
7:20 AM 	13 	55 	16 	84 	6 	37 	24 	67 	11 	51 	21 	83 	6 	26 	9 	41 	275
7:25 AM 	15 	40 	24 	79 	16 	57 	20 	93 	12 	63 	9 	84 	3 	31 	6 	40 	296
7:30 AM 	17 	59 	18 	94 	16 	53 	17 	86 	11 	50 	19 	80 	7 	26 	17 	50 	310
7:35 AM 	12 	49 	24 	85 	26 	62 	25 	113 	21 	83 	27 	131 	5 	33 	12 	50 	379
7:40 AM 	17 	66 	30 	113 	7 	63 	19 	89 	7 	57 	20 	84 	7 	31 	20 	58 	344
7:45 AM 	8 	52 	14 	74 	29 	42 	22 	93 	12 	103 	23 	138 	7 	38 	11 	56 	361
7:50 AM 	19 	60 	34 	113 	23 	63 	25 	111 	13 	85 	18 	116 	5 	35 	6 	46 	386
7:55 AM 	16 	42 	26 	84 	23 	44 	25 	92 	14 	90 	19 	123 	10 	45 	11 	66 	365
8:00 AM 	20 	62 	32 	114 	24 	55 	27 	106 	15 	55 	15 	85 	4 	41 	17 	62 	367
8:05 AM 	9 	36 	19 	64 	17 	58 	20 	95 	18 	83 	20 	121 	5 	41 	5 	51 	331
8:10 AM 	18 	51 	23 	92 	13 	57 	26 	96 	9 	48 	13 	70 	6 	26 	6 	38 	296
8:15 AM 	8 	30 	11 	49 	13 	44 	18 	75 	15 	77 	25 	117 	9 	58 	15 	82 	323
8:20 AM 	24 	70 	28 	122 	22 	57 	24 	103 	11 	60 	23 	94 	13 	23 	12 	48 	367
8:25 AM 	10 	37 	18 	65 	19 	56 	23 	98 	9 	66 	20 	95 	7 	42 	15 	64 	322
8:30 AM 	31 	43 	32 	106 	19 	62 	21 	102 	11 	49 	16 	76 	5 	30 	10 	45 	329
8:35 AM 	15 	30 	18 	63 	25 	60 	30 	115 	11 	89 	21 	121 	14 	53 	18 	85 	384
8:40 AM 	21 	70 	35 	126 	25 	62 	29 	116 	12 	49 	16 	77 	6 	42 	17 	65 	384
8:45 AM 	8 	49 	24 	81 	19 	43 	20 	82 	7 	81 	22 	110 	12 	59 	14 	85 	358
8:50 AM 	27 	69 	32 	128 	27 	59 	33 	119 	11 	49 	20 	80 	6 	35 	17 	58 	385
8:55 AM 	12 	40 	19 	71 	22 	42 	18 	82 	13 	81 	27 	121 	18 	48 	14 	80 	354
9:00 AM 	23 	43 	25 	91 	20 	43 	28 	91 	11 	46 	14 	71 	13 	33 	18 	64 	317
9:05 AM 	29 	34 	21 	84 	10 	39 	20 	69 	15 	55 	8 	78 	12 	51 	19 	82 	313
9:10 AM 	19 	41 	24 	84 	27 	54 	29 	110 	9 	42 	18 	69 	9 	33 	10 	52 	315
9:15 AM 	17 	46 	25 	88 	15 	44 	19 	78 	13 	46 	22 	81 	5 	45 	7 	57 	304
9:20 AM 	20 	35 	23 	78 	31 	56 	21 	108 	7 	71 	29 	107 	14 	40 	15 	69 	362
9:25 AM 	14 	44 	20 	78 	10 	39 	20 	69 	21 	57 	21 	99 	10 	49 	9 	68 	314
9:30 AM 	26 	66 	28 	120 	14 	49 	24 	87 	14 	53 	17 	84 	7 	36 	12 	55 	346
9:35 AM 	26 	49 	20 	95 	13 	40 	23 	76 	8 	49 	20 	77 	12 	42 	16 	70 	318
9:40 AM 	11 	43 	19 	73 	18 	54 	25 	97 	8 	52 	17 	77 	8 	58 	15 	81 	328
9:45 AM 	22 	57 	22 	101 	20 	51 	21 	92 	9 	59 	18 	86 	6 	53 	19 	78 	357
9:50 AM 	28 	55 	26 	109 	18 	44 	16 	78 	16 	69 	22 	107 	9 	38 	13 	60 	354
9:55 AM 	21 	36 	21 	78 	17 	47 	23 	87 	13 	39 	13 	65 	8 	54 	11 	73 	303
10:00 AM 	18 	45 	25 	88 	31 	46 	20 	97 	7 	51 	23 	81 	8 	42 	17 	67 	333
10:05 AM 	17 	27 	13 	57 	19 	44 	24 	87 	6 	63 	17 	86 	13 	58 	18 	89 	319
10:10 AM 	21 	44 	24 	89 	14 	42 	21 	77 	8 	64 	23 	95 	5 	57 	15 	77 	338
10:15 AM 	19 	42 	23 	84 	26 	49 	25 	100 	9 	58 	9 	76 	19 	40 	9 	68 	328
10:20 AM 	24 	43 	22 	89 	25 	42 	18 	85 	16 	48 	20 	84 	5 	43 	12 	60 	318
10:25 AM 	14 	39 	17 	70 	27 	57 	27 	111 	15 	57 	22 	94 	10 	42 	15 	67 	342
10:30 AM 	28 	33 	24 	85 	26 	45 	21 	92 	8 	73 	16 	97 	7 	57 	16 	80 	354
10:35 AM 	16 	35 	22 	73 	23 	52 	20 	95 	18 	61 	23 	102 	10 	69 	24 	103 	373
10:40 AM 	23 	44 	26 	93 	14 	49 	20 	83 	11 	43 	18 	72 	11 	39 	17 	67 	315
10:45 AM 	23 	47 	22 	92 	21 	59 	32 	112 	15 	72 	24 	111 	14 	35 	25 	74 	389
10:50 AM 	17 	45 	18 	80 	21 	49 	23 	93 	19 	69 	21 	109 	12 	64 	15 	91 	373
10:55 AM 	21 	60 	31 	112 	20 	34 	15 	69 	16 	65 	20 	101 	9 	71 	22 	102 	384
11:00 AM 	24 	61 	17 	102 	32 	56 	26 	114 	14 	72 	23 	109 	8 	46 	16 	70 	395
11:05 AM 	26 	48 	30 	104 	29 	54 	25 	108 	15 	60 	21 	96 	3 	62 	14 	79 	387
11:10 AM 	18 	50 	18 	86 	32 	51 	23 	106 	14 	64 	28 	106 	9 	59 	21 	89 	387
11:15 AM 	22 	43 	22 	87 	33 	49 	18 	100 	15 	66 	26 	107 	14 	80 	23 	117 	411
11:20 AM 	26 	31 	25 	82 	23 	40 	21 	84 	10 	71 	20 	101 	10 	74 	15 	99 	366
11:25 AM 	29 	43 	32 	104 	22 	69 	19 	110 	12 	54 	32 	98 	8 	45 	16 	69 	381
11:30 AM 	26 	44 	19 	89 	33 	37 	21 	91 	14 	84 	26 	124 	16 	51 	14 	81 	385
11:35 AM 	19 	28 	15 	62 	31 	38 	28 	97 	20 	57 	22 	99 	12 	49 	27 	88 	346
11:40 AM 	25 	44 	26 	95 	18 	33 	20 	71 	17 	90 	18 	125 	7 	70 	25 	102 	393
11:45 AM 	26 	42 	16 	84 	34 	56 	27 	117 	16 	61 	20 	97 	9 	53 	14 	76 	374
11:50 AM 	36 	38 	27 	101 	25 	54 	32 	111 	9 	68 	15 	92 	13 	61 	24 	98 	402
11:55 AM 	15 	33 	22 	70 	28 	53 	28 	109 	15 	74 	25 	114 	12 	66 	16 	94 	387
12:00 PM 	28 	19 	18 	65 	25 	49 	25 	99 	12 	78 	22 	112 	14 	92 	17 	123 	399
