		Eastbound			    Westbound			    Northbound			    Southbound
		L	T	TR	Total	    L	T	TR	Total	    L	T	R	Total	    L	T	R	Total	Vehicle Total
6:00 AM		4	19	7	30	    5	23	9	37	    4	9	3	16	    0	4	7	11	    94
6:05 AM		4	15	3	22	    2	19	11	32	    4	20	2	26	    1	1	6	8	    88
6:10 AM		6	22	7	35	    6	23	20	49	    6	11	2	19	    1	4	5	10	    113
6:15 AM		5	27	11	43	    10	18	10	38	    9	18	8	35	    2	3	8	13	    129
6:20 AM		8	29	14	51	    1	30	12	43	    6	13	8	27	    1	8	7	16	    137
6:25 AM		8	18	12	38	    11	37	21	69	    7	33	5	45	    3	6	10	19	    171
6:30 AM		16	35	19	70	    2	24	15	41	    3	9	4	16	    2	6	4	12	    139
6:35 AM		4	32	15	51	    9	31	22	62	    11	38	4	53	    2	13	13	28	    194
6:40 AM		10	35	13	58	    20	33	18	71	    10	49	12	71	    2	10	7	19	    219
6:45 AM		16	39	15	70	    18	37	16	71	    14	43	14	71	    1	12	11	24	    236
6:50 AM		10	56	24	90	    16	49	24	89	    11	36	13	60	    3	14	16	33	    272
6:55 AM		18	55	22	95	    14	39	22	75	    10	42	11	63	    1	13	7	21	    254
7:00 AM		16	55	13	84	    8	23	11	42	    9	38	10	57	    1	8	8	17	    200
7:05 AM		16	34	12	62	    13	32	21	66	    10	64	17	91	    2	8	14	24	    243
7:10 AM		17	57	21	95	    12	43	29	84	    13	56	18	87	    6	9	9	24	    290
7:15 AM		14	33	16	63	    11	39	16	66	    12	79	9	100	    3	12	6	21	    250
7:20 AM		19	62	24	105	    26	53	32	111	    19	67	19	105	    2	16	15	33	    354
7:25 AM		16	45	19	80	    23	53	24	100	    21	85	19	125	    4	16	5	25	    330
7:30 AM		24	66	24	114	    13	76	30	119	    20	65	18	103	    9	7	18	34	    370
7:35 AM		24	50	20	94	    21	48	25	94	    20	110	25	155	    4	20	15	39	    382
7:40 AM		21	73	30	124	    22	76	38	136	    14	85	28	127	    4	11	18	33	    420
7:45 AM		13	52	21	86	    20	48	27	95	    23	137	34	194	    5	16	7	28	    403
7:50 AM		40	45	17	102	    17	72	34	123	    16	103	24	143	    5	17	12	34	    402
7:55 AM		18	59	16	93	    15	39	19	73	    9	105	36	150	    2	21	9	32	    348
8:00 AM		17	65	39	121	    20	49	25	94	    11	72	23	106	    5	17	7	29	    350
8:05 AM		20	41	21	82	    24	42	22	88	    21	97	27	145	    8	20	5	33	    348
8:10 AM		28	54	22	104	    15	47	25	87	    8	66	27	101	    7	14	6	27	    319
8:15 AM		14	44	20	78	    27	36	21	84	    15	92	29	136	    8	18	16	42	    340
8:20 AM		23	96	29	148	    14	39	24	77	    10	70	26	106	    8	24	13	45	    376
8:25 AM		14	49	23	86	    13	44	20	77	    19	101	35	155	    9	22	15	46	    364
8:30 AM		30	87	36	153	    19	59	29	107	    16	70	31	117	    6	9	16	31	    408
8:35 AM		11	64	25	100	    16	35	13	64	    22	95	29	146	    5	18	19	42	    352
8:40 AM		23	86	35	144	    35	50	29	114	    12	79	26	117	    9	15	16	40	    415
8:45 AM		21	33	21	75	    16	35	21	72	    22	85	28	135	    10	26	12	48	    330
8:50 AM		30	61	40	131	    22	50	36	108	    15	65	36	116	    14	20	12	46	    401
