Eastbound 	Westbound 	Northbound 	Southbound
L 	T 	TR 	Total 	L 	T 	TR 	Total 	L 	T 	R 	Total 	L 	T 	R 	Total 	Vehicle Total
7:00 AM 	15 	48 	14 	77 	19 	34 	16 	69 	0 	4 	1 	5 	2 	9 	6 	17 	168
7:05 AM 	12 	40 	12 	64 	9 	35 	12 	56 	2 	16 	1 	19 	9 	27 	18 	54 	193
7:10 AM 	24 	58 	27 	109 	19 	42 	19 	80 	1 	15 	0 	16 	6 	13 	5 	24 	229
7:15 AM 	12 	43 	14 	69 	8 	38 	7 	53 	3 	11 	3 	17 	7 	30 	11 	48 	187
7:20 AM 	16 	48 	17 	81 	21 	49 	30 	100 	2 	13 	1 	16 	1 	16 	13 	30 	227
7:25 AM 	20 	47 	19 	86 	23 	38 	20 	81 	1 	23 	1 	25 	9 	38 	16 	63 	255
7:30 AM 	25 	65 	24 	114 	17 	80 	27 	124 	2 	17 	0 	19 	4 	30 	10 	44 	301
7:35 AM 	21 	44 	27 	92 	11 	41 	22 	74 	1 	24 	0 	25 	3 	50 	20 	73 	264
7:40 AM 	17 	51 	29 	97 	18 	56 	34 	108 	1 	17 	0 	18 	10 	37 	24 	71 	294
7:45 AM 	17 	47 	18 	82 	20 	34 	19 	73 	3 	32 	2 	37 	7 	53 	17 	77 	269
7:50 AM 	19 	71 	30 	120 	23 	47 	27 	97 	1 	19 	1 	21 	5 	29 	9 	43 	281
7:55 AM 	17 	40 	18 	75 	17 	38 	11 	66 	0 	32 	0 	32 	7 	47 	11 	65 	238
8:00 AM 	25 	76 	36 	137 	27 	31 	11 	69 	3 	15 	2 	20 	9 	32 	10 	51 	277
8:05 AM 	16 	31 	22 	69 	22 	21 	6 	49 	1 	16 	0 	17 	8 	51 	11 	70 	205
8:10 AM 	23 	66 	35 	124 	24 	42 	21 	87 	1 	16 	1 	18 	4 	40 	14 	58 	287
8:15 AM 	14 	41 	27 	82 	15 	30 	16 	61 	2 	27 	1 	30 	12 	44 	12 	68 	241
8:20 AM 	24 	65 	34 	123 	20 	71 	33 	124 	1 	19 	1 	21 	7 	37 	23 	67 	335
8:25 AM 	17 	22 	8 	47 	11 	47 	20 	78 	2 	23 	0 	25 	6 	60 	8 	74 	224
8:30 AM 	19 	59 	24 	102 	23 	60 	25 	108 	2 	16 	3 	21 	14 	44 	15 	73 	304
8:35 AM 	13 	51 	27 	91 	19 	38 	22 	79 	1 	17 	1 	19 	9 	53 	23 	85 	274
8:40 AM 	25 	47 	23 	95 	16 	50 	24 	90 	1 	9 	0 	10 	8 	32 	13 	53 	248
8:45 AM 	16 	43 	21 	80 	21 	45 	22 	88 	2 	24 	1 	27 	14 	66 	26 	106 	301
8:50 AM 	21 	57 	43 	121 	23 	50 	26 	99 	3 	16 	0 	19 	13 	43 	21 	77 	316
8:55 AM 	15 	53 	21 	89 	14 	27 	17 	58 	1 	17 	1 	19 	16 	49 	19 	84 	250
9:00 AM 	24 	54 	28 	106 	24 	34 	17 	75 	1 	17 	0 	18 	9 	42 	13 	64 	263
9:05 AM 	33 	47 	34 	114 	21 	40 	19 	80 	2 	15 	0 	17 	11 	46 	11 	68 	279
9:10 AM 	24 	38 	21 	83 	18 	38 	14 	70 	0 	9 	0 	9 	12 	28 	13 	53 	215
9:15 AM 	19 	42 	25 	86 	11 	43 	17 	71 	2 	25 	2 	29 	9 	52 	13 	74 	260
9:20 AM 	24 	28 	30 	82 	11 	39 	17 	67 	0 	15 	0 	15 	13 	48 	18 	79 	243
9:25 AM 	16 	40 	19 	75 	13 	37 	17 	67 	0 	13 	1 	14 	9 	54 	12 	75 	231
9:30 AM 	20 	65 	29 	114 	8 	45 	21 	74 	1 	14 	0 	15 	9 	33 	17 	59 	262
9:35 AM 	22 	51 	21 	94 	20 	43 	14 	77 	3 	11 	1 	15 	8 	35 	20 	63 	249
9:40 AM 	14 	41 	16 	71 	19 	48 	24 	91 	2 	17 	0 	19 	11 	35 	10 	56 	237
9:45 AM 	27 	43 	19 	89 	17 	39 	20 	76 	2 	19 	1 	22 	12 	51 	8 	71 	258
9:50 AM 	18 	51 	25 	94 	19 	27 	14 	60 	0 	17 	0 	17 	11 	46 	10 	67 	238
