Eastbound 	Westbound 	Northbound 	Southbound
L 	T 	TR 	Total 	L 	T 	TR 	Total 	L 	T 	R 	Total 	L 	T 	R 	Total 	Vehicle Total
7:00 AM 	12 	51 	13 	76 	10 	32 	11 	53 	4 	28 	1 	33 	5 	13 	9 	27 	189
7:05 AM 	15 	54 	11 	80 	24 	44 	13 	81 	3 	47 	1 	51 	6 	20 	15 	41 	253
7:10 AM 	15 	37 	12 	64 	14 	34 	16 	64 	2 	36 	0 	38 	2 	33 	16 	51 	217
7:15 AM 	16 	41 	16 	73 	21 	32 	14 	67 	7 	46 	0 	53 	6 	36 	9 	51 	244
7:20 AM 	10 	57 	25 	92 	14 	55 	26 	95 	3 	40 	2 	45 	4 	23 	12 	39 	271
7:25 AM 	18 	37 	12 	67 	13 	42 	19 	74 	2 	67 	1 	70 	6 	31 	19 	56 	267
7:30 AM 	25 	50 	35 	110 	28 	60 	15 	103 	4 	57 	2 	63 	6 	39 	16 	61 	337
7:35 AM 	19 	26 	22 	67 	26 	35 	24 	85 	1 	78 	4 	83 	6 	56 	11 	73 	308
7:40 AM 	38 	47 	22 	107 	25 	66 	35 	126 	1 	70 	3 	74 	8 	38 	11 	57 	364
7:45 AM 	27 	43 	22 	92 	19 	44 	23 	86 	8 	107 	1 	116 	7 	49 	21 	77 	371
7:50 AM 	35 	36 	12 	83 	21 	51 	27 	99 	1 	80 	1 	82 	1 	25 	13 	39 	303
7:55 AM 	31 	45 	23 	99 	22 	24 	18 	64 	3 	121 	5 	129 	7 	42 	15 	64 	356
8:00 AM 	35 	46 	32 	113 	22 	53 	31 	106 	6 	74 	3 	83 	3 	36 	11 	50 	352
8:05 AM 	38 	37 	12 	87 	19 	39 	22 	80 	7 	98 	8 	113 	4 	53 	15 	72 	352
8:10 AM 	38 	55 	35 	128 	25 	51 	22 	98 	6 	88 	1 	95 	4 	31 	17 	52 	373
8:15 AM 	21 	27 	17 	65 	16 	28 	11 	55 	5 	108 	5 	118 	10 	41 	18 	69 	307
8:20 AM 	41 	66 	28 	135 	23 	36 	21 	80 	4 	70 	3 	77 	6 	42 	11 	59 	351
8:25 AM 	24 	33 	15 	72 	15 	31 	17 	63 	11 	113 	3 	127 	7 	51 	17 	75 	337
8:30 AM 	39 	66 	31 	136 	20 	57 	23 	100 	7 	77 	6 	90 	4 	20 	16 	40 	366
8:35 AM 	26 	35 	22 	83 	12 	39 	15 	66 	9 	92 	3 	104 	6 	49 	19 	74 	327
8:40 AM 	33 	28 	34 	95 	26 	53 	31 	110 	6 	69 	4 	79 	14 	29 	12 	55 	339
8:45 AM 	15 	28 	11 	54 	10 	29 	21 	60 	2 	93 	5 	100 	9 	52 	18 	79 	293
8:50 AM 	28 	62 	22 	112 	21 	44 	21 	86 	6 	61 	1 	68 	7 	43 	20 	70 	336
8:55 AM 	18 	55 	14 	87 	26 	30 	22 	78 	9 	83 	4 	96 	5 	58 	10 	73 	334
9:00 AM 	27 	53 	29 	109 	14 	42 	17 	73 	7 	68 	2 	77 	11 	34 	13 	58 	317
9:05 AM 	22 	31 	13 	66 	18 	21 	10 	49 	9 	54 	5 	68 	8 	51 	11 	70 	253
9:10 AM 	26 	52 	31 	109 	21 	35 	20 	76 	8 	54 	3 	65 	9 	25 	21 	55 	305
9:15 AM 	23 	38 	19 	80 	17 	36 	25 	78 	6 	46 	1 	53 	10 	52 	13 	75 	286
9:20 AM 	18 	25 	22 	65 	8 	26 	15 	49 	7 	54 	5 	66 	10 	41 	12 	63 	243
9:25 AM 	26 	26 	26 	78 	15 	41 	13 	69 	3 	53 	3 	59 	17 	60 	15 	92 	298
9:30 AM 	24 	42 	29 	95 	14 	37 	19 	70 	5 	39 	1 	45 	10 	26 	16 	52 	262
9:35 AM 	21 	47 	16 	84 	28 	27 	14 	69 	9 	48 	6 	63 	5 	34 	15 	54 	270
9:40 AM 	12 	46 	21 	79 	20 	50 	21 	91 	6 	51 	1 	58 	8 	53 	20 	81 	309
9:45 AM 	18 	31 	21 	70 	22 	20 	10 	52 	7 	41 	1 	49 	9 	54 	18 	81 	252
9:50 AM 	24 	49 	25 	98 	7 	34 	18 	59 	3 	48 	3 	54 	11 	36 	15 	62 	273
